,Year,State,Population,Deaths Per 100k,City,# Killed,# Injured,# Victims,Gun Law Rank,Safety Grade,Incident Date
114,2014,Missouri,6056202,21.34,Saint Louis,0,5,5,46,F,8/3/2014
115,2014,Tennessee,6541223,17.82,Columbia,0,5,5,29,D,8/3/2014
116,2014,Texas,26964333,12.22,Dallas,3,1,4,34,F,8/2/2014
117,2014,Pennsylvania,12788313,12.47,Pittsburgh,1,5,6,12,C,8/2/2014
118,2014,Massachusetts,6762596,3.46,New Bedford,0,7,7,7,A,8/2/2014
119,2014,Pennsylvania,12788313,12.47,Philadelphia,1,3,4,12,C,8/1/2014
120,2014,North Carolina,9932887,13.26,Hope Mills,3,4,7,24,D,7/30/2014
121,2014,Pennsylvania,12788313,12.47,Philadelphia,1,4,5,12,C,7/28/2014
122,2014,Missouri,6056202,21.34,Saint Louis,0,5,5,46,F,7/27/2014
123,2014,Arkansas,2967392,18.96,Pine Bluff,1,3,4,40,F,7/26/2014
124,2014,Georgia,10067278,15.72,Sylvester,0,8,8,32,F,7/26/2014
125,2014,Maine,1330513,10.32,Saco,5,0,5,34,F,7/26/2014
126,2014,Illinois,12884493,10.78,Chicago,1,6,7,8,A,7/25/2014
127,2014,Pennsylvania,12788313,12.47,Braddock,0,4,4,12,C,7/23/2014
128,2014,New Jersey,8864525,4.75,Irvington,0,6,6,2,A,7/21/2014
129,2014,Tennessee,6541223,17.82,Memphis,0,4,4,29,D,7/21/2014
130,2014,Nevada,2817628,17.84,Las Vegas,1,3,4,15,C,7/20/2014
131,2014,Illinois,12884493,10.78,East Saint Louis,1,3,4,8,A,7/20/2014
132,2014,Illinois,12884493,10.78,Chicago,0,4,4,8,A,7/19/2014
133,2014,California,38596972,7.45,Sacramento,1,4,5,1,A,7/14/2014
134,2014,District of Columbia,662328,,Washington,0,4,4,,,7/13/2014
135,2014,Connecticut,3594524,4.91,Stamford,0,5,5,3,A,7/13/2014
136,2014,Washington,7054655,10.32,Skyway,0,5,5,10,B,7/13/2014
137,2014,California,38596972,7.45,Pasadena,3,2,5,1,A,7/12/2014
138,2014,Illinois,12884493,10.78,Chicago,1,3,4,8,A,7/11/2014
139,2014,Texas,26964333,12.22,Spring,6,1,7,34,F,7/9/2014
140,2014,Rhode Island,1055936,3.28,Providence,0,5,5,9,B,7/8/2014
141,2014,Kentucky,4414349,16.81,Stopover,0,4,4,46,F,7/7/2014
142,2014,California,38596972,7.45,San Bernardino,1,4,5,1,A,7/7/2014
143,2014,Florida,19845911,12.81,Miami,2,2,4,22,C,7/6/2014
144,2014,Missouri,6056202,21.34,Saint Louis,0,4,4,46,F,7/6/2014
145,2014,New York,19651049,4.03,Buffalo,0,4,4,4,A,7/6/2014
146,2014,Oregon,3963244,11.68,Portland,1,4,5,15,C,7/5/2014
147,2014,Virginia,8310993,11.76,Norfolk,0,7,7,26,D,7/5/2014
148,2014,Indiana,6593644,14.71,Indianapolis,0,7,7,28,D,7/5/2014
149,2014,Illinois,12884493,10.78,Centreville,0,5,5,8,A,7/5/2014
150,2014,Texas,26964333,12.22,Houston,0,6,6,34,F,7/5/2014
151,2014,Virginia,8310993,11.76,Norfolk,0,5,5,26,D,7/4/2014
152,2014,Pennsylvania,12788313,12.47,Chester,0,5,5,12,C,7/2/2014
153,2014,Kentucky,4414349,16.81,Lexington,1,3,4,46,F,6/30/2014
154,2014,Louisiana,4644013,21.31,New Orleans,1,9,10,32,F,6/29/2014
155,2014,Missouri,6056202,21.34,Saint Louis,0,4,4,46,F,6/29/2014
156,2014,California,38596972,7.45,Los Angeles,1,5,6,1,A,6/29/2014
157,2014,California,38596972,7.45,Antioch,0,7,7,1,A,6/28/2014
158,2014,New York,19651049,4.03,Manhattan,0,4,4,4,A,6/28/2014
159,2014,California,38596972,7.45,San Diego,1,3,4,1,A,6/27/2014
160,2014,Wisconsin,5751525,10.13,Milwaukee,0,5,5,21,C,6/26/2014
161,2014,Michigan,9929848,12.82,Detroit,2,2,4,19,C,6/26/2014
162,2014,Massachusetts,6762596,3.46,Lowell,0,5,5,7,A,6/25/2014
163,2014,Florida,19845911,12.81,Miami,2,7,9,22,C,6/24/2014
164,2014,California,38596972,7.45,Windsor,1,3,4,1,A,6/22/2014
165,2014,Tennessee,6541223,17.82,Memphis,0,5,5,29,D,6/21/2014
166,2014,District of Columbia,662328,,Washington,0,4,4,,,6/21/2014
167,2014,Maryland,5957283,11.61,Seat Pleasant,0,4,4,6,A,6/20/2014
168,2014,Indiana,6593644,14.71,Kokomo,0,4,4,28,D,6/15/2014
169,2014,Illinois,12884493,10.78,Park Forest,0,4,4,8,A,6/15/2014
170,2014,California,38596972,7.45,Los Angeles,3,1,4,1,A,6/13/2014
171,2014,New Jersey,8864525,4.75,Paterson,0,6,6,2,A,6/9/2014
172,2014,Florida,19845911,12.81,Fort Myers,5,0,5,22,C,6/8/2014
173,2014,Alabama,4841799,21.7,Opp,1,4,5,38,F,6/8/2014
174,2014,South Carolina,4823617,17.51,Moncks Corner,1,5,6,31,F,6/7/2014
175,2014,Michigan,9929848,12.82,Oak Park,1,3,4,19,C,6/7/2014
176,2014,Illinois,12884493,10.78,Chicago,1,3,4,8,A,6/4/2014
177,2014,Georgia,10067278,15.72,Atlanta,1,4,5,32,F,6/3/2014
178,2014,Illinois,12884493,10.78,Chicago,0,7,7,8,A,6/2/2014
179,2014,Illinois,12884493,10.78,Chicago,1,5,6,8,A,6/1/2014
180,2014,California,38596972,7.45,Sacramento,0,4,4,1,A,6/1/2014
181,2014,California,38596972,7.45,San Bernardino,1,3,4,1,A,5/31/2014
182,2014,Ohio,11602700,13.05,Toledo,1,3,4,24,D,5/25/2014
183,2014,Michigan,9929848,12.82,Detroit,0,4,4,19,C,5/24/2014
184,2014,South Carolina,4823617,17.51,Myrtle Beach,3,1,4,31,F,5/24/2014
185,2014,Louisiana,4644013,21.31,New Orleans,1,7,8,32,F,5/23/2014
186,2014,California,38596972,7.45,Goleta,4,7,11,1,A,5/23/2014
187,2014,California,38596972,7.45,Bellflower,2,2,4,1,A,5/23/2014
188,2014,Texas,26964333,12.22,Dallas,1,3,4,34,F,5/21/2014
189,2014,Ohio,11602700,13.05,Sandusky,0,7,7,24,D,5/18/2014
190,2014,California,38596972,7.45,Coachella,1,3,4,1,A,5/17/2014
191,2014,District of Columbia,662328,,Washington,0,5,5,,,5/17/2014
192,2014,Georgia,10067278,15.72,Atlanta,0,5,5,32,F,5/13/2014
193,2014,Illinois,12884493,10.78,Chicago,0,4,4,8,A,5/12/2014
194,2014,Tennessee,6541223,17.82,Memphis,0,7,7,29,D,5/11/2014
195,2014,California,38596972,7.45,Sacramento,1,6,7,1,A,5/10/2014
196,2014,Georgia,10067278,15.72,Stone Mountain,1,3,4,32,F,5/10/2014
197,2014,Georgia,10067278,15.72,Decatur,2,3,5,32,F,5/10/2014
198,2014,Illinois,12884493,10.78,Chicago,1,3,4,8,A,5/4/2014
199,2014,Colorado,5350101,15.14,Wheat Ridge,0,4,4,14,C,5/4/2014
200,2014,Arkansas,2967392,18.96,Jonesboro,4,4,8,40,F,5/3/2014
